measure,0,3,5,6,7,11,12,13,16,17,18,23,24,28,31,32,35,38,45,46,47,48,49,50,51,52,54,55,60,64,65,66,67,70,71,75,76,77,81,82,83,86,87,88,90,93,97,99,100,106,108,901,902,903,904,905,906,907,908,909,910,911,912,913,914,915,916,917,918,919,920,921,923,924,925,926,927,928,929,931,932,933,934,935,936,937,938,939,940,941,942,943,944,945,946,947,948,949,950,951,952,953,954,955,956,957,958,NA,29,30,85,922,930
transit_count,5697,51,5,33,35,38,16,104,21,8,82,42,88,97,51,39,4,21,43,26,40,50,62,32,62,36,38,45,17,68,62,12,22,18,1,61,29,17,3,39,32,23,31,33,47,67,52,29,28,72,51,31,46,126,55,44,45,97,27,73,59,11,75,54,44,122,61,185,32,58,126,57,52,76,18,126,49,102,95,57,45,28,27,33,91,119,104,68,128,21,112,108,79,50,62,37,7,59,28,206,59,46,32,18,15,51,78,21,0,0,0,0,0
transit_numR,9.62,10.35,0,4.21,4.94,11.31,8.24,6.03,4.4,6,7.34,17.19,17.15,9.21,10.95,11.53,0.13,12.62,2.76,6.08,40.19,4.88,12.04,2.89,7.16,3.53,34.26,42.33,14.27,1.58,5.87,0.45,0.27,0.41,0,6.62,12.12,17,0.36,21.92,14.45,16.5,6.14,23.09,14.88,4.92,12.69,13.05,3.62,35.83,8.04,19.57,11.44,19.83,5.67,7.93,28.88,4.58,18.27,6.61,22.69,0.42,10.35,10.89,8.74,12.95,1.17,9.68,0.18,7.75,8.4,3.55,7.7,7.85,0.82,4.64,8.24,6.63,12.81,18.44,11.89,6.77,15,3.28,1.51,11.05,7.74,13.08,10.96,6.91,7.74,12.5,1.48,6.7,4.36,25.44,2.7,19.38,7.45,5.72,4.13,8.13,7.39,0.54,3.84,13.65,33.5,0,0,0,0,0,0
transit_numS,8.93,13.24,0,4.96,12.74,10.85,5.06,9.3,6.72,4.4,18.47,9.91,19.13,12.66,7.73,6.58,0.19,12.38,11.14,10.62,17.03,5.19,11.63,9.63,6.89,6.74,11.12,13.66,10.47,2.91,7.73,1.56,1.16,0.99,0,6.39,8.24,13,0.14,10.75,13.9,7.89,7.75,8.44,8.65,5.83,13.31,9.8,6.72,12.9,8.64,10.57,8.94,13.54,8.9,8.73,17.55,6.36,13.81,9.96,11.07,0.4,10.03,8.77,7.3,11.01,3,9.59,0.43,8.14,11.31,7,13.33,9.34,0.86,2.45,6.8,7.61,12.51,12.82,11.2,11.75,19.65,11.94,2.85,10.55,9.98,10.27,13.51,13.36,9.43,12.9,3.85,6.71,3.66,10.63,3.62,18.76,6.85,5.85,5.38,17.62,15.29,1.82,3,19.4,17,0,0,0,0,0,0
transit_count1000,6.21,7.02,NA,7.21,8.45,5.61,3.09,4.29,3.29,NA,8.35,6.03,3.14,8.88,5.9,10.17,0.68,3.74,4.04,3.92,4.09,24.81,5.9,3.63,75.15,4.3,6.46,7.81,28.81,7.46,20.88,2.3,6.1,3.43,NA,6.07,6.89,100,0.56,5.31,5.15,3.75,5.21,7.71,10.55,6.5,12.29,6.14,5.73,6.29,6.21,3.37,7.03,9.96,6.79,6.06,7.06,6.15,5.28,6.45,6.5,1.65,6.71,5.09,3.66,8.25,14.49,104.82,9,4.98,6.7,6.53,4.1,6.85,1.83,77.3,8.11,6.19,8.36,5.89,3.34,5.7,4.35,4.72,21.95,4.71,5.79,6.56,6.68,3.94,4.86,8.82,10.48,3.46,4.42,6.11,3.5,5.14,6.76,6.56,3.55,4.46,4.89,7.09,58.82,5.39,6.82,NA,0,0,0,0,0
transit_countsqkm,2.04,22.85,7.51,9.84,25.53,16.11,8.41,15.98,9.84,8.77,30.22,19.84,26.27,12.92,12.91,7.07,0.03,11.59,19.78,22.46,21.82,3.27,18.1,17.58,13.55,8.25,17.63,18,19.54,1.16,9.55,0.09,0.16,0.12,4.88,6.12,7.63,32.36,0.02,22.7,22.16,12.65,15,17.94,14.6,11.27,16.39,13.23,16.18,22.55,15.81,19.28,16.2,20.3,18.62,17.04,21.3,10.27,21.7,7.67,19.85,0.06,16.82,14.25,12.11,19.95,1.12,14.19,0.19,14.49,22.09,5.86,19.08,16.77,0.26,0.76,9.53,8.51,17.22,20.86,16.77,16.47,34.06,17.72,0.82,19.31,20.38,20.81,20.99,41.25,14.15,24.52,0.47,10.43,2.53,20.49,3.11,27.22,14.5,6.87,4.06,27.01,24.04,0.23,3.76,28.56,24.62,NA,0,0,0,0,0
