ONS_ID,measure,value,Name,Name_FR
0,transit_numS,9.838368604313867,Ottawa,Ottawa
938,transit_numS,9.980531072185652,Old Barrhaven West,Old Barrhaven Ouest
3,transit_numS,14.166552807760622,Beacon Hill South - Cardinal Heights,Beacon Hill Sud - Cardinal Heights
902,transit_numS,9.687765634486945,Beaverbrook, 
6,transit_numS,6.582013804303695,Bells Corners East,Bells Corners Est
7,transit_numS,10.835250805338243,Bells Corners West,Bells Corners Ouest
903,transit_numS,13.86065828287533,Billings Bridge - Alta Vista, 
52,transit_numS,5.664066980158275,Hunt Club Upper -Blossom Park - Timbermill,Hunt Club Supérieur - Parc Blossom - Timbermill
905,transit_numS,8.888666132050254,Borden Farm - Fisher Glen, 
11,transit_numS,9.659727312710746,Braemar Park - Bel Air Heights - Copeland Park,Parc Braemar - Hauteurs Bel Air - Parc Copeland
12,transit_numS,4.429368029739777,Briar Green - Leslie Park,Briar Green - Parc Leslie
16,transit_numS,8.153703129841958,Carleton Heights - Rideauview,Hauteurs Carleton - Rideauview
18,transit_numS,17.988857114682972,Carlington, 
931,transit_numS,13.267583781547373,Laurentian, 
910,transit_numS,12.483026188166829,Carlingwood West - Glabar Park - McKellar Heights, 
912,transit_numS,9.149758877685226,Carson Grove - Carson Meadows, 
23,transit_numS,8.770876466528641,Centrepointe, 
24,transit_numS,19.769608697167147,Centretown,Centre-Ville
913,transit_numS,7.875903501361119,Chapel Hill North, 
950,transit_numS,8.36796134547482,Skyline - Fisher Heights, 
28,transit_numS,12.906296785557023,Civic Hospital-Central Park,Hôpital Civique - Parc Central
31,transit_numS,6.42241090380963,Cityview - Crestview - Meadowlands, 
38,transit_numS,13.014988119173825,Emerald Woods - Sawmill Creek, 
923,transit_numS,13.226120260436614,Glebe - Dows Lake,Glebe – Lac Dows
45,transit_numS,12.463827304550758,Greenboro East,Greenboro Est
46,transit_numS,10.840964966195452,Hawthorne Meadows - Sheffield Glen, 
47,transit_numS,15.827082708270828,Hintonburg - Mechanicsville, 
48,transit_numS,4.581777445855116,Hunt Club - Ottawa Airport,Hunt Club - Aéroport d'Ottawa
49,transit_numS,12.341769668432411,Hunt Club East - Western Community,Hunt Club Est - Communauté de l'Ouest
54,transit_numS,10.517241379310345,Iris - Queensway Terrance South,Iris - Queensway Terrance Sud
55,transit_numS,14.13456369826196,Island Park - Wellington Village,Island Park - Village Wellington
929,transit_numS,12.215287940087803,Katimavik - Hazeldean, 
932,transit_numS,11.162178247284631,Ledbury - Heron Gate - Ridgemont, 
933,transit_numS,13.756535012402214,Lindenlea - New Edinburgh, 
934,transit_numS,19.68864239962506,Lowertown,Basse-ville
939,transit_numS,9.765998176845944,Orléans Village - Chateauneuf, 
940,transit_numS,15.231334841628959,Overbrook - McArthur, 
87,transit_numS,6.569703069954706,Playfair Park - Lynda Park - Guildwood Estates,Parc Playfair - Parc Lynda - Domaines Guildwood
88,transit_numS,10.430511543684926,Qualicum - Redwood Park,Qualicum - Parc Redwood
943,transit_numS,12.639517470881863,Queenswood Heights, 
90,transit_numS,8.631613183000868,Riverside Park,Parc Riverside
949,transit_numS,19.3359375,Sandy Hill,Côte-de-Sable
100,transit_numS,7.961666240736008,Trend-Arlington, 
97,transit_numS,10.472731287259881,South Keys - Greenboro West,South Keys - Greenboro Ouest
99,transit_numS,9.584634867032504,Tanglewood, 
954,transit_numS,14.531475748194014,Vanier South,Vanier Sud
957,transit_numS,20.130876494023905,West Centretown,Centre-Ville Ouest
958,transit_numS,16.71761469374545,Westboro, 
106,transit_numS,13.115509086382874,Whitehaven - Queensway Terrace North,Whitehaven - Terrasse Queensway Nord
108,transit_numS,9.183795411089866,Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,Woodvale - Craig Henry - Manordale - Domaines des Bois d'Arlington
948,transit_numS,4.944099378881988,Rockcliffe Park,Parc Rockcliffe
956,transit_numS,1,Wateridge Village,Village des Riverains
953,transit_numS,17.268922783603433,Vanier North,Vanier Nord
915,transit_numS,11.220456734076214,Convent Glen - Orléans Woods, 
50,transit_numS,9.62119239781307,Hunt Club Park,Parc Hunt Club
917,transit_numS,13.018301010652827,East Industrial,Industriel-Est
919,transit_numS,8.084002856632743,Elmvale - Canterbury, 
65,transit_numS,10.574208443271768,Merivale Gardens - Grenfell Glen - Pineglen - Country Place,Merivale Gardens - Grenfell Glen - Pineglen - Country Place
93,transit_numS,8.215109307259478,Rothwell Heights - Beacon Hill North,Rothwell Heights - Beacon Hill Nord
76,transit_numS,8.149425287356323,Chatelaine Village,Village Chatelaine
924,transit_numS,8.697297297297297,Glen Cairn - Kanata South Business Park,Glen Cairn - Parc d'Affaires Kanata-Sud
928,transit_numS,6.765543341142548,Kanata Lakes - Arcardia, 
927,transit_numS,6.6760634706279545,Hunt Club Woods - Quintarra - Revelstoke,Hunt Club Woods - Quintarra - Revelstoke
13,transit_numS,8.408483606557377,Bridlewood - Emerald Meadows, 
942,transit_numS,9.15406418579135,Portobello South, 
75,transit_numS,6.51523088863019,Chapel Hill South,Chapel Hill Sud
904,transit_numS,10.732949675523448,Blackburn Hamlet, 
945,transit_numS,6.801856479828633,Rideau Crest - Davidson Heights, 
946,transit_numS,3.6069853713165814,Riverside South - Leitrim,Riverside Sud - Leitrim
32,transit_numS,6.348813730439172,Crystal Bay - Lakeview Park,Baie Crystal - Parc Lakeview
906,transit_numS,16.898662155928033,Britannia Village, 
908,transit_numS,17.112889778222446,Byward Market,Marché By
83,transit_numS,12.923282923755513,Old Ottawa South,Vieil Ottawa-Sud
