ONS_ID,measure,value,Name,Name_FR
943,transit_numS,12.89795918367347,Queenswood Heights, 
944,transit_numS,3.8492063492063493,Richmond, 
945,transit_numS,6.710743801652892,Rideau Crest - Davidson Heights, 
946,transit_numS,3.663551401869159,Riverside South - Leitrim,Riverside Sud - Leitrim
947,transit_numS,10.62962962962963,Riverview, 
948,transit_numS,3.622950819672131,Rockcliffe Park,Parc Rockcliffe
949,transit_numS,18.761467889908257,Sandy Hill,Côte-de-Sable
950,transit_numS,6.849056603773585,Skyline - Fisher Heights, 
951,transit_numS,5.853035143769968,Stittsville, 
952,transit_numS,5.377952755905512,Stonebridge - Half Moon Bay - Heart's Desire, 
953,transit_numS,17.622222222222224,Vanier North,Vanier Nord
954,transit_numS,15.288135593220339,Vanier South,Vanier Sud
955,transit_numS,1.8205128205128205,Vars, 
956,transit_numS,3,Wateridge Village,Village des Riverains
957,transit_numS,19.40449438202247,West Centretown,Centre-Ville Ouest
958,transit_numS,17,Westboro, 
NA,transit_numS,0,NA,NA
