ONS_ID,measure,value,Name,Name_FR
940,transit_numR,5.128205128205129,Overbrook - McArthur, 
941,transit_numR,4.636363636363637,Parkwood Hills - Stewart Farm, 
942,transit_numR,3.924324324324324,Portobello South, 
943,transit_numR,5.73469387755102,Queenswood Heights, 
944,transit_numR,1.0793650793650793,Richmond, 
945,transit_numR,2.8016528925619837,Rideau Crest - Davidson Heights, 
946,transit_numR,2.2990654205607477,Riverside South - Leitrim,Riverside Sud - Leitrim
947,transit_numR,6.851851851851852,Riverview, 
948,transit_numR,0.9016393442622951,Rockcliffe Park,Parc Rockcliffe
949,transit_numR,9.440366972477063,Sandy Hill,Côte-de-Sable
950,transit_numR,2.339622641509434,Skyline - Fisher Heights, 
951,transit_numR,2.757188498402556,Stittsville, 
952,transit_numR,2.3464566929133857,Stonebridge - Half Moon Bay - Heart's Desire, 
953,transit_numR,3.966666666666667,Vanier North,Vanier Nord
954,transit_numR,3.9322033898305087,Vanier South,Vanier Sud
955,transit_numR,0.38461538461538464,Vars, 
956,transit_numR,1.02,Wateridge Village,Village des Riverains
957,transit_numR,7.101123595505618,West Centretown,Centre-Ville Ouest
958,transit_numR,15.57,Westboro, 
NA,transit_numR,0,NA,NA
